postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,Lat,Lon
2580,3895,14117,23.8,27549,15692,8518,3339,3363,529,3,355302,"2,273,930",483.5,-34.66979358,149.737015
2581,483,1055,39.1,3056,2110,946,0,412,71,0,44051,"281,924",59.7,-34.78341852,149.2855949
2582,2454,5490,36.3,16984,10058,6926,0,1993,461,0,104883,"671,253",145.1,-34.8507604,148.9030211
2583,795,2743,26.2,4461,3216,1245,0,720,75,0,67859,"434,296",92,-34.31663133,149.3658729
2584,125,308,35.7,752,566,186,0,110,15,0,4516,"28,904",6.2,-34.66716205,148.6405617
2585,26,155,12.3,206,109,97,0,19,7,0,5565,"35,619",7.7,-34.6004577,148.5758355
2586,608,1516,35.8,3555,2494,1061,0,543,65,0,44988,"287,923",63.8,-34.40654573,148.7392397
2587,616,1439,37.7,4149,2667,1285,197,542,73,1,28341,"181,382",39.9,-34.54270207,148.3446508
2588,85,143,50.3,507,349,158,0,72,13,0,7161,"45,833",10.5,-34.5148286,148.1418472
2590,1285,3614,31.5,8301,5187,2645,469,1139,145,1,95850,"613,438",125.9,-34.65743484,147.9978762
2594,1854,4981,31.5,12703,7691,4891,121,1571,282,1,103148,"660,144",150.8,-34.25742071,148.1937041
2600,768,2637,21.9,8402,2782,5357,263,578,189,1,82425,"527,518",114.4,-35.3069742,149.1133678
2601,37,47,,2115,40,1673,402,7,29,1,49060,"313,984",68.1,-35.2813927,149.1227649
2602,3084,10835,25.6,18237,13174,4877,186,2775,308,1,158830,"1,016,509",220,-35.2719573,149.1648583
2603,784,2894,19.8,7396,2965,4431,0,573,211,0,65795,"421,087",93,-35.3295133,149.1217041
2604,728,2430,26.1,4785,2880,1905,0,634,94,0,43673,"279,504",60.5,-35.335103,149.1488893
2605,1239,4098,25.7,8119,4987,2652,480,1053,185,1,67869,"434,364",95.9,-35.3315454,149.0885426
2606,843,4055,17.4,5762,3066,2696,0,704,139,0,65174,"417,113",92,-35.3471544,149.0845986
2607,1556,5571,23.5,9750,6389,3361,0,1309,247,0,82071,"525,252",115.9,-35.369374,149.1008474
2609,213,509,9.8,11902,304,6762,4836,50,157,6,132429,"847,548",188,-35.3093535,149.1819509
2611,4644,12470,31.5,30278,19672,10209,397,3926,716,2,154431,"988,361",218.2,-35.4526686,148.6954887
2612,652,3015,18.1,5090,2603,2287,200,545,106,1,70302,"449,930",97.5,-35.2831579,149.1488072
2614,2445,7503,28.7,14200,10162,4038,0,2154,291,0,107520,"688,128",149,-35.2451607,149.0460037
2615,6115,17970,30.6,35046,26662,8384,0,5497,618,0,235891,"1,509,701",326.9,-35.2135102,149.0289646
2617,3282,10336,27.7,21917,13595,6651,1671,2862,417,3,185586,"1,187,751",257,-35.2279309,149.0837462
2618,270,551,35.8,2378,1067,1311,0,197,73,0,3324,"21,272",4.6,-35.1277684,149.0277092
2619,1115,3359,27.7,7869,5064,2511,294,929,185,1,57215,"366,178",79.3,-35.3844774,149.1979373
2620,5479,15174,29.6,41261,23580,17336,345,4496,981,2,38865,"248,738",56.4,-35.41849319,149.1909034
2621,1239,2560,41.5,7787,5569,2218,0,1063,176,0,70858,"453,491",98.1,-35.3937781,149.4328549
2622,953,2766,30.8,5081,3676,1405,0,853,100,0,67648,"432,944",91.8,-35.45708681,149.7971071
2623,79,296,24.3,406,319,87,0,72,7,0,5224,"33,436",7.2,-35.5720136,149.4239637
2625,5,8,,120,20,100,0,4,1,0,0,0,0,-36.50399047,148.3047948
2626,93,199,43.7,486,416,70,0,87,6,0,7223,"46,225",10.1,-35.93293569,149.149139
2627,763,2666,22.7,5544,3116,2428,0,604,159,0,18113,"115,925",22.9,-36.41176008,148.6232889
2628,337,1267,24.1,1982,1459,523,0,305,32,0,20871,"133,577",29.1,-36.40576613,148.7731004
2629,108,588,16.2,785,479,306,0,95,13,0,11511,"73,668",15.1,-35.92792668,148.6800388
2630,1283,4013,29.1,7485,5172,2313,0,1168,115,0,110872,"709,583",155.1,-36.23640109,149.1163472
2631,90,380,21.6,441,328,113,0,82,8,0,11276,"72,167",15.1,-36.60409216,149.3205185
2632,302,910,31.1,1428,1155,273,0,283,19,0,30241,"193,544",40.5,-36.93084374,149.2278
2633,44,244,17.6,209,183,26,0,43,1,0,8992,"57,549",12,-36.98614166,148.9071917
2640,6301,19852,27.9,41364,25290,15344,730,5534,765,2,374473,"2,396,626",506.6,-36.08467831,146.919996
2641,2238,9092,22.5,13183,9230,3953,0,2045,193,0,124716,"798,181",168.6,-36.03975046,146.9418597
2642,1126,2127,46.9,7065,4989,2076,0,997,129,0,96072,"614,860",129.1,-35.75876977,147.3371135
2643,698,1339,48.8,4158,3068,1090,0,654,44,0,7796,"49,895",10.7,-35.97892078,146.5941627
2644,513,1171,38.4,3466,2252,1214,0,450,63,0,54700,"350,077",73.5,-35.74658875,147.3441481
2645,105,225,42.2,670,465,205,0,95,10,0,11694,"74,843",16,-35.32239907,146.3109376
2646,1536,3310,42,49628,6615,3189,39824,1391,143,2,79051,"505,924",108.2,-35.92942693,146.3582946
2647,608,1107,49.5,4326,2617,1413,296,548,59,1,7445,"47,651",10.2,-35.98582847,146.0076035
2648,492,1170,34.8,3805,1981,1824,0,407,85,0,47230,"302,273",68.8,-33.77599604,141.9485726
2649,7,10,,30,19,11,0,6,1,0,1047,"6,701",1.4,-35.72003657,148.221699
2650,8069,23164,31.6,212746,33549,15323,163874,7322,741,6,581920,"3,724,289",786,-35.13031293,147.2933833
2651,246,777,29.7,1512,1161,351,0,231,15,0,25688,"164,405",35,-35.1522222,147.4657021
2652,835,1985,36.4,6017,3642,1573,802,723,109,3,109211,"698,950",161.1,-34.89614481,146.9826227
2653,506,1184,39.2,2942,2131,811,0,464,42,0,43495,"278,371",57.2,-35.76011088,148.009786
2655,280,605,41.7,1615,1179,436,0,252,28,0,21829,"139,704",29.4,-35.29741467,147.1225316
2656,272,613,40.1,1634,1208,426,0,246,26,0,26324,"168,471",35.3,-35.25499455,146.7494041
2658,320,676,44.2,1778,1410,368,0,299,21,0,33879,"216,824",45.5,-35.51047184,146.9832245
2659,181,343,48.7,1342,843,273,226,167,13,1,12430,"79,550",16.7,-35.75140408,146.8890486
2660,353,695,45.2,2782,1447,890,445,314,37,2,14797,"94,699",19.9,-35.66709842,147.0424406
2661,1,57,1.8,6,6,0,0,1,0,0,10027,"64,174",13.9,-35.15465035,147.2949971
2663,675,1822,34.5,43238,2733,1106,39399,628,46,1,52632,"336,847",69.2,-34.85538133,147.6271598
2665,327,1022,28,2085,1516,569,0,286,41,0,54912,"351,438",81,-34.31315812,146.8323284
2666,917,2568,30.9,117078,3870,2304,110904,794,121,2,115589,"739,767",169.7,-34.46341063,147.5834075
2668,74,209,33.5,357,309,48,0,70,4,0,13427,"85,933",19.6,-34.13498665,147.4005481
2669,288,899,26.7,2435,1262,621,552,240,46,2,72886,"466,472",107.5,-33.71932083,146.6073811
2671,803,1826,37.7,6657,3190,2209,1258,689,112,2,40433,"258,769",59.6,-33.86981365,147.2123583
2672,322,587,44,2979,1259,1499,221,258,63,1,12898,"82,548",19,-33.28355298,146.3680579
2675,278,729,28.1,123204,987,2283,119934,205,69,4,35581,"227,715",52.6,-33.41440751,145.6442879
2680,3462,8399,31.5,67801,12872,17347,37582,2648,804,10,330854,"2,117,463",490.7,-34.49382016,146.3379907
2681,275,678,29.4,2381,994,1387,0,199,76,0,41740,"267,136",62.4,-34.20708198,146.1824072
2700,860,2278,32.7,6906,3441,2254,1211,746,113,1,33455,"214,114",49.4,-34.77149426,146.4840253
2701,416,1006,37.9,2431,1755,676,0,381,35,0,20250,"129,599",29.9,-34.72852973,147.2154515
2702,165,325,46.2,837,652,185,0,150,15,0,17938,"114,800",26.5,-34.80278847,147.0341676
2703,125,281,39.1,839,568,271,0,110,15,0,10997,"70,382",16.1,-34.62066887,146.4007438
2705,1539,4379,28.1,26995,5970,6503,14522,1231,306,2,148567,"950,830",220.4,-34.55787501,146.399666
2706,226,574,34.5,335122,983,749,333390,198,25,3,29081,"186,117",42.9,-34.58552182,145.980915
2707,199,615,25.2,190308,724,904,188680,155,43,1,29118,"186,354",43,-34.80462379,145.8721002
2710,1947,4591,36,14687,8394,6293,0,1655,292,0,187120,"1,197,567",265.1,-35.73811084,144.8936642
2711,606,1754,27.5,5671,2462,2614,595,482,122,2,72679,"465,148",107.4,-34.38224306,144.8530109
2712,325,659,42.5,2441,1319,1122,0,280,45,0,35505,"227,229",48.7,-35.6852921,145.8587465
2713,595,1391,35.5,180102,2435,2376,175291,494,100,1,32441,"207,622",45.7,-35.60695641,145.517534
2714,712,1691,38.3,4335,2918,1417,0,648,64,0,53063,"339,606",75.4,-35.7817461,145.5060683
2715,221,861,21.8,605832,931,642,604259,188,30,3,19598,"125,428",28.5,-34.54663752,143.5438442
2716,289,550,47.3,1789,1229,560,0,260,29,0,17871,"114,376",26.4,-35.1607362,145.6628505
2717,203,631,26.1,5449,800,632,4017,165,36,2,18713,"119,761",27.3,-34.09421954,142.0566586
2720,1368,3774,32.9,7969,5663,2306,0,1240,128,0,37806,"241,959",49.5,-35.35444026,148.2789449
2721,34,150,20,227,173,54,0,30,4,0,8712,"55,756",12.7,-34.01430748,147.7534518
2722,581,1507,33.5,3849,2367,1482,0,505,76,0,52717,"337,390",69.1,-35.04861923,148.109423
2725,68,203,30,365,278,87,0,61,7,0,5325,"34,081",7.8,-34.48715978,147.8779337
2726,56,121,39.7,394,257,137,0,48,8,0,6072,"38,859",8.6,-34.7814597,148.3195138
2727,63,165,29.7,466,252,214,0,49,14,0,10861,"69,509",15.3,-34.95807512,148.3545067
2729,377,758,45.4,2172,1601,571,0,344,33,0,19701,"126,089",25.8,-35.2894462,148.0100182
2730,275,682,36.2,1665,1057,608,0,247,28,0,27482,"175,882",36.2,-35.53277239,148.1085861
2731,1396,3218,38.2,9333,5802,3334,197,1229,166,1,28634,"183,260",40.4,-36.09000126,144.7487676
2732,399,994,26.6,3778,1387,2391,0,264,135,0,43840,"280,575",63.4,-35.42183164,144.0953184
2733,132,353,32.3,906,588,318,0,114,18,0,12930,"82,749",18.6,-35.14525437,144.1453786
2734,67,206,17.5,929,228,701,0,36,31,0,16137,"103,276",23.3,-35.23977267,143.7272552
2735,83,207,38.6,556,521,35,0,80,3,0,11092,"70,986",16,-35.16141,143.4936544
2736,67,181,26,719,215,504,0,47,20,0,8459,"54,139",12.2,-34.99356227,143.3689957
2737,112,411,18.2,2153,399,1048,706,75,35,2,10850,"69,442",15.8,-34.4780228,142.8296406
2738,377,653,37.4,3701,1392,2309,0,244,133,0,25191,"161,221",36.7,-34.20446979,142.2451599
2739,244,733,24.6,4156,914,1593,1649,180,61,3,26319,"168,444",38.7,-34.16992897,142.1857542
2745,4105,10763,31.6,27363,16847,10516,0,3402,703,0,203097,"1,299,822",262.9,-33.80694431,150.6879571
2747,6118,18032,30.3,38578,27766,9752,1060,5469,647,2,210898,"1,349,745",271.5,-33.75521208,150.7522126
2748,260,574,31.4,2625,959,1666,0,180,80,0,37092,"237,389",48.2,-33.79240993,150.7207971
2749,2001,6269,27.4,12882,8078,4804,0,1716,285,0,99010,"633,665",127.3,-33.71601488,150.685816
2750,4579,17346,23.4,30633,17783,11871,979,4055,522,2,321400,"2,056,959",416.3,-33.75457026,150.6796903
2752,857,1674,39.5,6005,3159,2846,0,661,196,0,43846,"280,617",57,-33.90185867,150.5996945
2753,1805,6174,23.3,13471,6647,6526,298,1438,366,1,182504,"1,168,028",235.2,-33.61914144,150.6983294
2754,951,2305,34.1,6424,3955,2469,0,786,165,0,51263,"328,083",66.7,-33.56576558,150.7160019
2756,3994,12972,23.3,32431,14561,17870,0,3019,975,0,344062,"2,201,995",448,-33.56973575,150.8200231
2757,101,291,21,928,303,625,0,61,40,0,9511,"60,868",12.3,-33.5494784,150.6976229
2758,1193,3150,28.6,8343,4251,4092,0,902,291,0,99390,"636,097",128.7,-33.48900825,150.7230775
2759,3366,8886,34.5,20420,14176,5545,699,3068,296,2,215354,"1,378,264",282.8,-33.79928867,150.7926172
2760,3119,14039,20.6,18822,13086,5614,122,2892,226,1,199984,"1,279,896",260.5,-33.75889792,150.7802197
2761,4757,10310,41.8,28662,20049,8243,370,4314,441,2,161148,"1,031,345",210.9,-33.72649949,150.8508722
2762,2840,2129,,20805,14968,5837,0,2423,417,0,44600,"285,442",57.9,-33.70008963,150.8804241
2763,3756,9334,36.9,19465,15273,4192,0,3442,314,0,116560,"745,987",150.1,-33.72829135,150.8979036
2765,7632,5754,,65225,37791,24199,3235,5990,1636,6,218606,"1,399,076",284.9,-33.69655331,150.8182266
2766,1717,5079,30.2,18889,6838,6377,5674,1536,172,9,195351,"1,250,245",256.8,-33.78600012,150.8477834
2767,3418,8204,39.4,14764,12406,2358,0,3232,186,0,86649,"554,553",111.5,-33.76609505,150.8700742
2768,4240,8898,43.4,22620,17386,5234,0,3858,382,0,112710,"721,344",145.2,-33.73051157,150.9312067
2769,2799,6717,35.8,17879,12807,5072,0,2408,391,0,51657,"330,608",66.5,-33.71022547,150.8979011
2770,4945,19398,23.8,26822,19935,6327,560,4619,324,2,262639,"1,680,888",338.4,-33.75728943,150.8143204
2773,851,2218,34.2,4540,3354,1186,0,758,93,0,37305,"238,749",47.9,-33.76447335,150.6243419
2774,1704,4960,31.8,8620,6833,1787,0,1575,129,0,71831,"459,717",92.3,-33.72236823,150.6036061
2775,249,852,26.1,1482,950,532,0,222,27,0,26881,"172,039",34.8,-33.3343926,150.9993411
2776,632,1580,36.4,3099,2357,742,0,575,57,0,24214,"154,972",31.1,-33.69200549,150.5410926
2777,2460,6691,33.2,12863,9047,3667,149,2223,236,1,116062,"742,795",149.2,-33.7123756,150.5773984
2778,428,983,41.2,1892,1614,278,0,405,23,0,15917,"101,870",20.4,-33.7208138,150.505087
2779,673,2099,30,3129,2516,613,0,629,44,0,28924,"185,112",37.1,-33.72025171,150.4559008
2780,1697,7128,22.2,8845,6290,2555,0,1579,118,0,111048,"710,709",145.9,-33.71705691,150.3342857
2782,935,3014,29.1,4707,3772,935,0,876,59,0,48722,"311,823",62.5,-33.71027577,150.3705026
2783,373,1155,30.1,1735,1306,429,0,348,25,0,19343,"123,795",24.8,-33.72623545,150.4258417
2784,208,559,35.1,898,735,163,0,196,12,0,8394,"53,723",10.8,-33.72886388,150.4145052
2785,772,2958,24.7,3845,2962,883,0,730,42,0,4489,"28,731",5.9,-33.66407747,150.2681002
2786,215,899,21.8,1076,805,271,0,196,19,0,5224,"33,431",6.7,-33.54543683,150.2986765
2787,678,2143,27.7,5818,2694,1130,1994,593,84,1,40069,"256,440",52.5,-33.79092762,149.8889165
2790,1948,7506,22.6,12611,7756,4429,426,1696,250,2,162605,"1,040,672",214.3,-33.47347425,150.1145744
2791,62,156,31.4,470,232,238,0,49,13,0,6491,"41,540",9.2,-33.58709343,149.1093901
2792,61,208,25.5,489,253,236,0,53,8,0,7418,"47,478",10.5,-33.63620343,148.9916472
2793,217,590,34.9,1062,922,140,0,206,11,0,15976,"102,248",22.7,-33.82171543,148.9123562
2794,1838,4577,34.8,11845,7057,4542,246,1591,246,1,140984,"902,298",201,-33.85152169,148.6877548
2795,6172,19197,27.9,41582,26221,15062,299,5357,814,1,475978,"3,046,258",665.7,-33.42626261,149.606982
2797,76,187,34.2,465,305,160,0,64,12,0,3750,"24,003",5.3,-33.70160966,149.0308464
2798,363,954,32.3,2183,1511,672,0,308,55,0,29101,"186,248",41.3,-33.4367415,149.1738755
2799,522,1734,25.7,4140,2196,1343,601,446,75,1,24870,"159,170",35.3,-33.50371353,149.3071103
2800,6523,20369,27.5,46400,27734,17319,1347,5601,919,3,462098,"2,957,429",658.9,-33.28203278,149.0942334
2803,71,152,40.8,667,297,370,0,62,9,0,10863,"69,523",15.4,-34.14074877,148.4780513
2804,652,1223,47.3,4043,2641,1402,0,578,74,0,32462,"207,757",46,-33.57066577,148.6506536
2805,68,198,28.3,428,236,192,0,56,12,0,8188,"52,406",12,-33.64061025,148.4447404
2806,146,420,29.5,1153,640,513,0,124,22,0,12064,"77,208",17.6,-33.4215435,148.3629771
2807,100,216,42.1,509,398,111,0,91,9,0,8077,"51,695",11.5,-34.0240893,148.5600778
2808,47,196,21.9,241,198,43,0,43,4,0,6043,"38,678",8.6,-33.973656,148.9396404
2809,51,113,38.9,297,213,84,0,44,7,0,6341,"40,584",9.3,-34.0203118,148.3931562
2810,623,1691,31.7,4143,2521,1622,0,536,87,0,44326,"283,686",64.8,-33.83410418,147.8974602
2817,47,157,24.2,300,186,114,0,38,9,0,10570,"67,650",15.6,-31.41250005,148.8711485
2818,133,354,31.4,836,554,282,0,111,22,0,14895,"95,325",21.9,-32.37952071,148.833437
2820,1044,3075,29.4,397104,3938,2279,390887,903,139,2,56651,"362,569",83.5,-32.5480368,148.9517834
2821,1163,1983,51.4,17873,3994,2488,11391,1020,141,2,78374,"501,596",115.5,-32.21225747,148.2090393
2822,48,208,16.8,450,201,249,0,35,13,0,10781,"68,996",15.9,-31.94281113,148.6024567
2823,358,614,49.5,2077,1287,790,0,304,54,0,38714,"247,769",57,-31.85663982,148.0259065
2824,570,1010,48.1,3408,2040,1368,0,486,84,0,46818,"299,633",69.2,-31.40777525,147.8279852
2825,453,1094,35.3,105252,1511,1141,102600,386,65,2,45001,"288,004",67.1,-31.57910098,147.2686158
2826,43,75,46.7,132103,169,87,131847,35,7,1,7763,"49,683",11.4,-31.82056481,147.6547099
2827,878,1696,46.6,4634,3147,1487,0,791,87,0,65722,"420,622",96.9,-31.66639695,148.6117936
2828,193,477,32.5,1318,712,606,0,155,38,0,24993,"159,955",36.8,-31.30424041,148.3349334
2829,735,1431,44.7,4410,2693,1717,0,639,96,0,36309,"232,380",54.1,-30.87707561,148.4317908
2830,9865,16789,52.9,71120,32954,18614,19552,8881,978,6,440342,"2,818,192",651.8,-32.22881176,148.6476986
2831,592,907,60,3303,2068,635,600,544,47,1,55997,"358,380",83.3,-30.98340766,147.6882539
2832,519,1261,34.7,3507,1782,1725,0,438,81,0,60074,"384,473",90,-29.9787948,148.0203462
2833,200,406,44.8,1016,769,247,0,182,18,0,14832,"94,926",22.1,-29.41940734,148.6504382
2834,626,1437,39.2,2912,1694,1218,0,564,62,0,40350,"258,241",61.2,-29.3070406,147.9141965
2835,961,1988,43.2,5286,3486,1800,0,858,103,0,58039,"371,448",86.7,-31.57346015,145.5127395
2836,229,471,37.8,1475,716,759,0,178,51,0,17842,"114,190",28,-31.06986198,143.2900496
2838,55,100,34,556,166,390,0,34,21,0,4863,"31,125",7.3,-29.34992284,147.3401859
2839,318,532,53,1834,1302,532,0,282,36,0,23254,"148,828",35.8,-29.76102858,146.8872903
2840,732,1315,48.4,4350,2825,1525,0,636,96,0,57035,"365,024",87.9,-29.92941702,145.3646087
2842,185,317,51.7,997,661,336,0,164,21,0,17874,"114,393",26.3,-31.81887127,149.0809043
2843,265,590,39.3,1713,1148,565,0,232,33,0,26476,"169,448",37.6,-31.80947593,149.7614995
2844,325,722,39.8,1825,1313,512,0,287,38,0,26049,"166,716",37,-32.02824811,149.4431739
2845,260,864,26.9,1527,1091,436,0,232,28,0,2227,"14,255",3.1,-33.4122975,150.0592936
2846,83,187,41.2,2368,295,73,2000,77,5,1,8420,"53,891",11.7,-33.10946272,149.9917588
2847,401,1022,35.5,2253,1611,642,0,363,38,0,7998,"51,187",11.2,-33.38850208,150.0433617
2848,218,856,23.5,1251,952,299,0,201,17,0,19791,"126,665",28.3,-32.8877851,149.9715045
2849,354,894,34.8,1986,1401,585,0,311,43,0,30972,"198,224",44,-32.73178904,150.0923008
2850,3154,8655,31.6,20896,13614,6992,290,2732,421,1,139499,"892,792",198.2,-32.65882098,149.6253813
2852,612,1723,31.1,114864,2650,1310,110904,535,76,1,50947,"326,059",72.5,-32.26084508,149.5363659
2864,168,356,40.4,1175,678,497,0,144,24,0,18718,"119,798",26.6,-33.3326959,148.6882325
2865,228,397,53.7,57010,918,220,55872,213,14,1,10159,"65,019",14.4,-33.15492366,148.6413209
2866,499,1277,33.3,42320,2047,1217,39056,425,73,1,32379,"207,225",45.9,-33.04248694,148.9124802
2867,123,292,39,725,582,143,0,114,9,0,17085,"109,343",25.2,-32.86550852,148.7540975
2868,134,297,40.7,803,615,188,0,121,13,0,16333,"104,528",24,-32.73460502,148.6307497
2869,314,734,38.7,8477,1252,586,6639,284,29,1,39128,"250,422",57.6,-32.72460678,148.1907766
2870,2207,4875,40.1,169645,9179,4269,156197,1956,244,7,158354,"1,013,462",232.2,-33.10987042,148.2057207
2871,1421,4253,28.4,71040,5710,3893,61437,1208,212,1,167535,"1,072,227",245.7,-33.39714571,147.9625744
2873,164,285,49.5,932,628,304,0,141,23,0,17142,"109,710",25.3,-32.27475671,147.3455776
2874,116,226,47.3,571,463,108,0,107,9,0,12971,"83,014",19.1,-32.60934018,147.5718813
2875,188,544,30.5,7774,809,245,6720,166,21,1,30124,"192,791",44.4,-32.97213626,147.5935867
2876,71,194,34,387,329,58,0,66,5,0,16243,"103,956",23.7,-33.11954445,147.8475405
2877,792,1762,38.8,5309,3221,2088,0,683,109,0,51935,"332,386",76.6,-32.90436979,146.8381094
2878,70,173,32.4,447,236,211,0,56,14,0,15254,"97,623",22.7,-32.94464665,144.3634106
2879,259,425,50.8,1648,882,766,0,216,43,0,16176,"103,529",25.4,-32.42427973,142.6320884
2880,5627,9625,53,81063,18877,9186,53000,5102,524,1,197925,"1,266,719",311.7,-31.4160942,141.6622242
2898,43,262,15.6,171,150,21,0,41,2,0,0,0,0,-31.53323008,159.0706539
2899,555,2401,22,1770,1209,561,0,528,27,0,0,0,0,-29.03595129,167.9522577
2900,235,612,34.3,2642,1067,883,692,210,24,1,27020,"172,931",38,-35.4153639,149.0645272
2902,2123,5932,31.1,12726,8788,3695,243,1842,280,1,88107,"563,883",124.5,-35.3864116,149.0634623
2903,1182,3816,27.4,6966,5166,1800,0,1044,138,0,57331,"366,921",81,-35.4000225,149.0899197
2904,2048,5065,35.2,24070,7844,3376,12850,1785,262,1,75987,"486,318",107.4,-35.4069179,149.1154176
2905,3707,11286,29.2,22277,16882,5395,0,3300,407,0,156473,"1,001,426",221,-35.4331495,149.098527
2906,2199,6418,30.6,13463,10056,3407,0,1962,237,0,94273,"603,345",133.2,-35.4579439,149.0927732
2911,543,2936,13.1,5420,2156,3264,0,386,157,0,53195,"340,449",75.2,-35.206933,149.1208331
2912,441,1792,20.6,4324,1821,1426,1077,370,68,3,34281,"219,399",47.4,-35.18702165,149.1350941
2913,4263,15877,22.9,27030,18569,8461,0,3628,635,0,165915,"1,061,855",229.9,-35.1690279,149.1015199
2914,3528,11695,24.6,25071,15640,8831,600,2878,649,1,113265,"724,896",156.9,-35.16192127,149.1517254
